"Code","Country","HDI","infoalawk","d7","d30","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Contagd30"
"PAK","Pakistan",0.5604,2,2020-03-02,2020-03-25,36.67,63.33,2.89863366633654,1482.30566684338,28.7,-0.6338443,"Sin apoyo",275.289318700706,6,1201
"PAN","Panama",0.7951,1,2020-03-16,2020-04-08,67.71,32.29,7.31949135661125,15592.573678922,48.15,-0.019452,"Sin apoyo",56.1860774818402,6,2249
"PER","Peru",0.7591,2,2020-03-12,2020-04-04,77.91,22.09,4.99515049159527,6941.23584763012,44.44,-0.2454309,"Sin apoyo",24.99160625,7,1746
"PHL","Philippines",0.7119,2,2020-02-05,2020-02-28,46.91,53.09,4.44640778005123,3252.09232412664,19.44,0.0495094,"Sin apoyo",357.688305329175,6,3
"POL","Poland",0.8718,2,2020-03-10,2020-04-02,60.06,39.94,6.5419539809227,15460.6442805468,25,0.6626508,"Sin apoyo",124.023482151605,5,2946
"PRT","Portugal",0.8502,2,2020-03-08,2020-03-31,65.21,34.79,8.96957442164421,23461.5718628115,11.11,1.208909,"Sin apoyo",112.2619412173,9,7443
"PRY","Paraguay",0.7243,1,2020-03-14,2020-04-06,61.58,38.42,6.65456876158714,5805.67561638869,50.93,-0.5172144,"Sin apoyo",17.5083589227284,6,113
"QAT","Qatar",0.8484,1,2020-03-06,2020-03-29,99.14,0.86,2.60742865502834,68793.7844372614,13.89,0.6312364,"Sin apoyo",239.593195521103,9,634
"ROU","Romania",0.8156,2,2020-03-03,2020-03-26,54,46,5.15788830816746,12408.5964891293,16.67,-0.2534418,"Sin apoyo",84.633801286509,5,1029
"RWA","Rwanda",0.536,2,2020-03-20,2020-04-12,17.21,82.79,6.57159835100174,782.618140904879,42.59,0.2068089,"Sin apoyo",498.659870287799,3,126
"SAU","Saudi Arabia",0.857,2,2020-03-08,2020-03-31,83.84,16.16,5.23025318980217,23338.9634581127,19.44,0.3234982,"Sin apoyo",15.6766543082956,6,1563
"SEN","Senegal",0.5138,0,2020-03-08,2020-03-31,47.19,52.81,4.13406379520893,1465.59100640191,0,-0.2678156,"Sin apoyo",82.3474783150678,48,175
"SGP","Singapore",0.9348,2,2020-01-29,2020-02-21,100,0,4.44038286805153,66188.7793961798,19.44,2.231474,"Sin apoyo",7952.9984184018,2,85
"SLE","Sierra Leone",0.4385,1,2020-04-06,2020-04-29,42.06,57.94,13.4209275245667,533.991184258936,88.89,-1.142948,"Sin apoyo",105.987170961485,15,104
"SLV","El Salvador",0.6667,2,2020-03-25,2020-04-17,72.02,27.98,7.22756013274193,4067.65944881154,88.89,-0.4471425,"Sin apoyo",309.881467181467,7,177
"SRB","Serbia",0.7993,2,2020-03-12,2020-04-04,56.09,43.91,8.43395814299583,7246.19198607054,25,0.1116198,"Sin apoyo",79.8376857992225,14,1624
"SUR","Suriname",0.7237,2,2020-03-20,2020-04-12,66.06,33.94,6.2297698110342,6003.723065571,52.78,-0.6553037,"Sin apoyo",3.69225,9,10
"SVN","Slovenia",0.9016,2,2020-03-11,2020-04-03,54.54,45.46,8.18701758980751,26054.5421049784,25,1.125806,"Sin apoyo",102.96366052404,7,934
"SWE","Sweden",0.9366,0,2020-02-07,2020-03-01,87.43,12.57,11.0187463462353,54589.0603860606,0,1.830975,"Sin apoyo",24.9814981218237,7,14
"SYC","Seychelles",0.8014,2,2020-03-20,2020-04-12,56.69,43.31,5.0067350268364,16390.824875738,34.26,0.502284,"Sin apoyo",210.352173913043,3,11
"UZB","Uzbekistan",0.7105,2,2020-03-21,2020-04-13,50.48,49.52,6.41438513994217,1529.08286351335,63.89,-0.5470828,"Sin apoyo",77.4708509637988,5,998
"ZAF","South Africa",0.7049,2,2020-03-11,2020-04-03,66.36,33.65,8.11311826109886,6374.02819575944,13.89,0.3403786,"Sin apoyo",47.6301197767684,28,1505
"ZMB","Zambia",0.5915,2,2020-03-24,2020-04-16,43.52,56.48,4.47034128010273,1556.33448154128,27.78,-0.5592093,"Sin apoyo",23.3414789007116,15,48
"ZWE","Zimbabwe",0.5631,1,2020-03-26,2020-04-18,32.21,67.79,6.63591623306274,1683.74057709465,56.48,-1.19886,"Sin apoyo",37.3245909267158,11,25
